Title,Style,Series,Number,Type,Format
Pitch Perfect 2,,Pitch Perfect,2,Movie/Miniseries,BluRay
Pitch Perfect 3,,Pitch Perfect,3,Movie/Miniseries,DVD
"Planet of the Apes, Dawn of",,Planet of the Apes remake,2,Movie/Miniseries,BluRay
"Planet of the Apes, Rise of",,Planet of the Apes remake,1,Movie/Miniseries,DVD
"Planet of the Apes, War of",,Planet of the Apes remake,3,Movie/Miniseries,BluRay
Playing by Heart,,,,Movie/Miniseries,DVD
Playing it Cool,,,,Movie/Miniseries,DVD
Pleasantville,,,,Movie/Miniseries,DVD
Poltergeist original,,,,Movie/Miniseries,
Poltergeist remake,,,,Movie/Miniseries,DVD
Pompeii,,,,Movie/Miniseries,DVD
Power Rangers remake,,,,Movie/Miniseries,DVD
Predator,,,,Movie/Miniseries,DVD
Predator 2,,,,Movie/Miniseries,DVD
Predators,,,,Movie/Miniseries,DVD
Prestige,,,,Movie/Miniseries,DVD
Pride and Prejudice 1995,,Jane Austen,,Movie/Miniseries,DVD
Pride and Prejudice 2006,,Jane Austen,,Movie/Miniseries,DVD
Pride and Prejudice and Zombies,,Jane Austen,,Movie/Miniseries,BluRay
Priest,Unrated,,,Movie/Miniseries,BluRay
Prime,,,,Movie/Miniseries,DVD Collection
Prince and Me,,,,Movie/Miniseries,DVD Collection
Princess Bride,,,,Movie/Miniseries,DVD
Princess Diaries,,Princess Diaries,1,Movie/Miniseries,DVD
Princess Diaries 2,,Princess Diaries,2,Movie/Miniseries,DVD
Prometheus,,,,Movie/Miniseries,DVD
Proposal,,,,Movie/Miniseries,DVD
Psycho,,,,Movie/Miniseries,DVD
Pulp Fiction,,,,Movie/Miniseries,DVD
Push,,,,Movie/Miniseries,DVD
Quick and the Dead,,,,Movie/Miniseries,DVD
Quiet Place,,,,Movie/Miniseries,DVD
Quigley Down Under,,,,Movie/Miniseries,DVD Collection
Race to Witch Mountain remake,,,,Movie/Miniseries,BluRay
Ratatouille,,,,Movie/Miniseries,DVD
Ready Player One,,,,Movie/Miniseries,BluRay
Re-Animator,,,,Movie/Miniseries,DVD
Red,,,,Movie/Miniseries,BluRay
Red Dragon,,,,Movie/Miniseries,DVD
Red Riding Hood,,,,Movie/Miniseries,DVD
Red Riding Hood alternate ending,,,,Movie/Miniseries,
Red Water,,,,Movie/Miniseries,DVD Collection
Reign of Fire,,,,Movie/Miniseries,DVD
Resident Evil,,Resident Evil,1,Movie/Miniseries,DVD
Resident Evil: Afterlife,,Resident Evil,4,Movie/Miniseries,DVD
Resident Evil: Apocalypse,,Resident Evil,2,Movie/Miniseries,DVD
Resident Evil: Extinction,,Resident Evil,3,Movie/Miniseries,DVD
Resident Evil: Final Chapter,,Resident Evil,6,Movie/Miniseries,DVD
Resident Evil: Retribution,,Resident Evil,5,Movie/Miniseries,BluRay
Return of the Living Dead,,,,Movie/Miniseries,DVD
Return to Me,,,,Movie/Miniseries,DVD
Return to Oz,,Oz,,Movie/Miniseries,DVD
Riddick: Chronicles,,Riddick,3,Movie/Miniseries,DVD Collection
Riddick: Dark Fury,,Riddick,2,Movie/Miniseries,DVD Collection
Riddick: Pitch Black,,Riddick,1,Movie/Miniseries,DVD Collection
Ring,,,,Movie/Miniseries,DVD
Rio Grande (John Wayne),,,,Movie/Miniseries,BluRay
Rip in Time,,,,Movie/Miniseries,DVD Collection
RIPD,,,,Movie/Miniseries,BluRay
Rise of the Guardians,,,,Movie/Miniseries,DVD
Rob Roy,,,,Movie/Miniseries,DVD Collection
Robin Hood,Animated,,,Movie/Miniseries,BluRay
Robin Hood Russell Crowe,,,,Movie/Miniseries,DVD
Robin Hood Taron Egerton,,,,Movie/Miniseries,DVD
Robin Hood: Men in Tights,,,,Movie/Miniseries,DVD
Robin Hood: Prince of Thieves,,,,Movie/Miniseries,DVD
Robin Hood: Prince of Thieves,Special Edition,,,Movie/Miniseries,DVD
Romeo + Juliet,,,,Movie/Miniseries,DVD
Royal Tenenbaums,,,,Movie/Miniseries,DVD
Ruins,Unrated,,,Movie/Miniseries,DVD
Sabrina,,,,Movie/Miniseries,DVD Collection
Safe Haven,,,,Movie/Miniseries,DVD
Samurai Girl,Burned Discs,,,Movie/Miniseries,DVD
Samurai Jack,,,,Movie/Miniseries,DVD
San Andreas,,,,Movie/Miniseries,DVD
Save the Last Dance 2,,,,Movie/Miniseries,DVD
Saved,,,,Movie/Miniseries,DVD
Saving Mr. Banks,,,,Movie/Miniseries,DVD
School of Rock,,,,Movie/Miniseries,DVD
Scooby Doo,live action,,,Movie/Miniseries,DVD
Scooby Doo 2: Monsters Unleashed,live action,,,Movie/Miniseries,DVD
Scream,,Scream,1,Movie/Miniseries,DVD
Se7en,,,,Movie/Miniseries,DVD
Secret Life of Pets,,,,Movie/Miniseries,DVD Collection
Secret of Nimh,,,,Movie/Miniseries,DVD
Self/Less,,,,Movie/Miniseries,BluRay
Sense and Sensibility Emma Thompson,,Jane Austen,,Movie/Miniseries,DVD
Sense and Sensibility Hattie Morahan,,Jane Austen,,Movie/Miniseries,DVD Collection
Serenity,,,,Movie/Miniseries,DVD
Seven Brides for Seven Brothers,,,,Movie/Miniseries,DVD
Shaft original,,,,Movie/Miniseries,DVD
Shape of Water,,,,Movie/Miniseries,DVD
Shaun of the Dead,,,,Movie/Miniseries,DVD
Shawshank Redemption,,,,Movie/Miniseries,DVD
Shazam!,,,,Movie/Miniseries,BluRay
She Creature,,,,Movie/Miniseries,DVD Collection
She's All That,,,,Movie/Miniseries,DVD
She's the Man,,,,Movie/Miniseries,DVD
Sherlock Holmes RDJ,,,,Movie/Miniseries,DVD
Sherlock Holmes: Game of Shadows,,,,Movie/Miniseries,DVD
Shrek,,Shrek,1,Movie/Miniseries,DVD
Shrek 2,,,,Movie/Miniseries,DVD
Shrek 3,,Shrek,3,Movie/Miniseries,DVD
Signs,,,,Movie/Miniseries,DVD
Silence of the Lambs,,,,Movie/Miniseries,DVD
Silver Linings Playbook,,,,Movie/Miniseries,DVD
Sin City,,,,Movie/Miniseries,DVD
Sing,,,,Movie/Miniseries,DVD Collection
Sisterhood of the Travelling Pants,,,,Movie/Miniseries,DVD Collection
Sixth Sense,,,,Movie/Miniseries,DVD
Skulls,,,,Movie/Miniseries,DVD
Sky Captain and the World of Tomorrow,,,,Movie/Miniseries,DVD
Sky High,,,,Movie/Miniseries,DVD
Sleeping Beauty,Animated,,,Movie/Miniseries,DVD
Sleeping Beauty,Animated - 50th Anniversary Edition,,,Movie/Miniseries,DVD
Sleepers,,,,Movie/Miniseries,DVD
Sleepless in Seattle,,,,Movie/Miniseries,DVD Collection
Sleepy Hollow,,,,Movie/Miniseries,DVD
Sliding Doors,,,,Movie/Miniseries,DVD
Snow White and the Huntsman,,Snow White and the Huntsman,1,Movie/Miniseries,BluRay
Snowman,,,,Movie/Miniseries,DVD
Sorcerer's Apprentice,,,,Movie/Miniseries,DVD
Sound of Music,,,,Movie/Miniseries,DVD
Source Code,,,,Movie/Miniseries,DVD
"South Park: Bigger, Longer, and Uncut",,,,Movie/Miniseries,DVD
Space Jam,,,,Movie/Miniseries,DVD
Spaceballs,,,,Movie/Miniseries,DVD
Spacecamp,,,,Movie/Miniseries,BluRay
Speed,,,,Movie/Miniseries,DVD
Sphere,,,,Movie/Miniseries,DVD
Spider-Man Tobey Maguire,,,,Movie/Miniseries,DVD
Spider-Man 2 Tobey Maguire,,,,Movie/Miniseries,DVD
Spider-Man 3 Tobey Maguire,,,,Movie/Miniseries,DVD
Spider-Man: Far from Home,,Marvel MCU,,Movie/Miniseries,BluRay
Spider-Man: Homecoming,,Marvel MCU,16,Movie/Miniseries,BluRay
Spider-Man: Into the Spider-verse,,,,Movie/Miniseries,BluRay
Spider-Man: No Way Home,,Marvel MCU,,Movie/Miniseries,BluRay
Split,,Unbreakable,2,Movie/Miniseries,BluRay
Stand - mom has this,,Stephen King,,Movie/Miniseries,DVD Collection
Stand by Me,,,,Movie/Miniseries,DVD
Star Trek remake,,Star Trek remake,1,Movie/Miniseries,DVD
Star Trek: Beyond,,Star Trek remake,3,Movie/Miniseries,BluRay
Star Trek: Into Darkness,,Star Trek remake,2,Movie/Miniseries,BluRay
Star Trek: The Motion Picture,,Star Trek original,,Movie/Miniseries,DVD
Star Wars: The Phantom Menace,,Star Wars,1,Movie/Miniseries,BluRay
Star Wars: Attack of the Clones,,Star Wars,2,Movie/Miniseries,BluRay
Star Wars: Revenge of the Sith,,Star Wars,3,Movie/Miniseries,BluRay
Star Wars: Empire Strikes Back,,Star Wars,5,Movie/Miniseries,BluRay
Star Wars: Force Awakens,,Star Wars,7,Movie/Miniseries,BluRay
Star Wars: Last Jedi,,Star Wars,8,Movie/Miniseries,BluRay
Star Wars: New Hope,,Star Wars,4,Movie/Miniseries,BluRay
Star Wars: Return of the Jedi,,Star Wars,6,Movie/Miniseries,BluRay
Star Wars: Rogue One,,Star Wars,3.5,Movie/Miniseries,BluRay
Star Wars: Solo,,Star Wars,,Movie/Miniseries,BluRay
Stardust,,,,Movie/Miniseries,DVD
Stargate,multiple editions - CHECK,,,Movie/Miniseries,DVD
Starter for 10,,,,Movie/Miniseries,DVD
Stay Alive,,,,Movie/Miniseries,DVD
Steel Magnolias,,,,Movie/Miniseries,DVD Collection
Step Up,,,,Movie/Miniseries,DVD
Step Up 2: The Streets,Dance Off Edition,,,Movie/Miniseries,DVD
Stranger than Fiction,,,,Movie/Miniseries,DVD
Streets of Fire,,,,Movie/Miniseries,DVD
Submergence,,,,Movie/Miniseries,DVD
Suicide Squad,,DCU,,Movie/Miniseries,BluRay
Suicide Squad,see if this is a different edition,DCU,,Movie/Miniseries,BluRay
Sum of All Fears,,,,Movie/Miniseries,DVD
Superman,,,,Movie/Miniseries,DVD Collection
Superman II,,,,Movie/Miniseries,DVD Collection
Superman III,,,,Movie/Miniseries,DVD Collection
Superman IV,,,,Movie/Miniseries,DVD Collection
Superman Returns,,,,Movie/Miniseries,DVD
Superman Doomsday,animated,,,Movie/Miniseries,
Suspect Zero,,,,Movie/Miniseries,DVD
Sweeney Todd,,,,Movie/Miniseries,DVD
Sweet Home Alabama,,,,Movie/Miniseries,DVD
Swing Kids,,,,Movie/Miniseries,DVD
Sword in the Stone,,,,Movie/Miniseries,DVD
Sydney White,,,,Movie/Miniseries,DVD
Taken,,,,Movie/Miniseries,
Taken 2,,,,Movie/Miniseries,
Taking Lives,Unrated Cut,,,Movie/Miniseries,DVD
Tangled,,,,Movie/Miniseries,DVD
Tarzan,,,,Movie/Miniseries,DVD
Tatooist,,,,Movie/Miniseries,DVD Collection
Ted,,,,Movie/Miniseries,DVD
Teenage Mutant Ninja Turtles original,,,,Movie/Miniseries,DVD
Teenage Mutant Ninja Turtles remake,,,,Movie/Miniseries,DVD
Teenage Mutant Ninja Turtles II,,TMNT,2,Movie/Miniseries,DVD
Terminator,,Terminator,1,Movie/Miniseries,DVD
Terminator 2,,Terminator,2,Movie/Miniseries,DVD
Terminator 3,,Terminator,3,Movie/Miniseries,DVD
Terminator Genisys,,Terminator,5,Movie/Miniseries,DVD
Terminator Salvation,,Terminator,4,Movie/Miniseries,BluRay
Thirteen Ghosts,,,,Movie/Miniseries,DVD
This is Spinal Tap,,,,Movie/Miniseries,DVD
Thor,,Marvel MCU,6,Movie/Miniseries,BluRay
Thor: Dark World,,Marvel MCU,9,Movie/Miniseries,BluRay
Thor: Ragnarok,,Marvel MCU,19,Movie/Miniseries,BluRay
Three Musketeers 1993,,,,Movie/Miniseries,DVD
Three Musketeers 2011,,,,Movie/Miniseries,DVD
Time Machine,,,,Movie/Miniseries,DVD
Timeline,,,,Movie/Miniseries,DVD
Tin Man,,,,Movie/Miniseries,DVD
Titan AE,,,,Movie/Miniseries,DVD
Tomb Raider,,,,Movie/Miniseries,DVD
Top Gun,,,,Movie/Miniseries,DVD
Top Secret!,,,,Movie/Miniseries,DVD
Total Recall,,,,Movie/Miniseries,DVD
Total Recall remake,,,,Movie/Miniseries,
Toy Story 3,,,,Movie/Miniseries,BluRay
Train to Busan,,Train to Busan,1,Movie/Miniseries,DVD
Transformers,,,,Movie/Miniseries,DVD
Transformers: Revenge of the Fallen,,,,Movie/Miniseries,
Transformers: Age of Extinction,,,,Movie/Miniseries,
Tremors,,Tremors,1,Movie/Miniseries,DVD Collection
Tremors: Aftershocks,,Tremors,2,Movie/Miniseries,DVD Collection
Tremors: Back to Perfection,,Tremors,3,Movie/Miniseries,DVD Collection
Tremors: The Legend Begins,,Tremors,4,Movie/Miniseries,DVD Collection
Tremors: Bloodlines,,Tremors,5,Movie/Miniseries,DVD Collection
Tremors: A Cold Day in Hell,,Tremors,6,Movie/Miniseries,DVD Collection
Tremors: Shrieker Island,,Tremors,7,Movie/Miniseries,DVD Collection
Tristan + Isolde,,,,Movie/Miniseries,DVD
Trolls,,,,Movie/Miniseries,DVD
True Lies,,,,Movie/Miniseries,DVD
Tucker & Dale vs. Evil,,,,Movie/Miniseries,DVD
Twilight,,Twilight,1,Movie/Miniseries,DVD
Twilight,Extended Edition,Twilight,1,Movie/Miniseries,DVD
Twilight: Breaking Dawn pt 1,,Twilight,4,Movie/Miniseries,DVD
Twilight: Breaking Dawn pt 2,,Twilight,5,Movie/Miniseries,BluRay
Twilight: Eclipse,,Twilight,3,Movie/Miniseries,DVD
Twilight: New Moon,Ultimate Fan Edition,Twilight,2,Movie/Miniseries,DVD
Twilight: New Moon,Special Edition,Twilight,2,Movie/Miniseries,DVD
Twister,,,,Movie/Miniseries,
Ultraviolet,,,,Movie/Miniseries,DVD
Unbreakable,Vista series,,,Movie/Miniseries,DVD
Under the Tuscan Sun,,,,Movie/Miniseries,DVD
Undercover Brother,,,,Movie/Miniseries,DVD
Underworld,,Underworld,1,Movie/Miniseries,DVD
Underworld,Unrated Extended Cut,,1,Movie/Miniseries,DVD
Underworld: Awakening,,Underworld,4,Movie/Miniseries,BluRay
Underworld: Blood Wars,,Underworld,5,Movie/Miniseries,DVD
Underworld: Blood Wars,,Underworld,5,Movie/Miniseries,BluRay
Underworld: Evolution,,Underworld,2,Movie/Miniseries,DVD
Underworld: Rise of the Lycans,,Underworld,3,Movie/Miniseries,DVD
Untouchables,,,,Movie/Miniseries,DVD
Up,,,,Movie/Miniseries,DVD
Urban Legend,,,,Movie/Miniseries,DVD
Vampire Academy,,,,Movie/Miniseries,DVD
Vampires: The Turning,,,,Movie/Miniseries,DVD Collection
Van Helsing,,,,Movie/Miniseries,DVD
Vanishing,don't care - it's just in a set,,,Movie/Miniseries,DVD Collection
Venom,,,,Movie/Miniseries,BluRay
Veronica Mars,,,,Movie/Miniseries,
Vertical Limit,,,,Movie/Miniseries,DVD
Victor Frankenstein,,,,Movie/Miniseries,BluRay
Village,,,,Movie/Miniseries,DVD
Vow,,,,Movie/Miniseries,DVD
WALL-E,,,,Movie/Miniseries,DVD
Walk in the Clouds,,,,Movie/Miniseries,DVD
Wanted,,,,Movie/Miniseries,BluRay
War of the Worlds,,,,Movie/Miniseries,DVD
Warcraft,,,,Movie/Miniseries,DVD
Warm Bodies,,,,Movie/Miniseries,BluRay
Watchmen,Director's Cut,,,Movie/Miniseries,DVD
Watchmen: Complete Motion Comic,,,,Movie/Miniseries,DVD
Watchmen: Tales of the Black Freighter,,,,Movie/Miniseries,DVD
Way of the Dragon,,,,Movie/Miniseries,DVD Collection
Wedding Date,,,,Movie/Miniseries,DVD Collection
Wedding Planner,,,,Movie/Miniseries,DVD
Welcome to the Punch,,,,Movie/Miniseries,BluRay
Westing Game (2004),,,,Movie/Miniseries,DVD
What A Girl Wants,,,,Movie/Miniseries,DVD
What Dreams May Come,,,,Movie/Miniseries,DVD
What's Your Number,Ex-tended Edition,,,Movie/Miniseries,DVD
Whatever It Takes,,,,Movie/Miniseries,DVD
When A Stranger Calls,,,,Movie/Miniseries,DVD Collection
When Harry Met Sally,,,,Movie/Miniseries,DVD
When In Rome,,,,Movie/Miniseries,DVD
Where the Heart Is,,,,Movie/Miniseries,DVD
While You Were Sleeping,,,,Movie/Miniseries,DVD
White House Down,,,,Movie/Miniseries,DVD
Who Framed Roger Rabbit,,,,Movie/Miniseries,BluRay
Willow,,,,Movie/Miniseries,DVD
Willy Wonka and the Chocolate Factory,,,,Movie/Miniseries,DVD
Wimbledon,,,,Movie/Miniseries,DVD Collection
Win a Date with Tad Hamilton,,,,Movie/Miniseries,DVD
Winchester,,,,Movie/Miniseries,DVD
Winning London,,,,Movie/Miniseries,DVD
Witches of Oz,,Oz,,Movie/Miniseries,DVD
Wizard of Oz,,Oz,,Movie/Miniseries,DVD
Woman in Black,,,,Movie/Miniseries,DVD
Wonder Woman,,DCU,,Movie/Miniseries,BluRay
World Without End,,Ken Follet,2,Movie/Miniseries,DVD
World's End,,,,Movie/Miniseries,DVD
Wrath of the Titans,,,,Movie/Miniseries,DVD
Wreck-It Ralph,Animated,,,Movie/Miniseries,DVD
Wrinkle in Time,,,,Movie/Miniseries,BluRay
X-Men 1.5,,X-Men,1,Movie/Miniseries,DVD
X-Men 2,,X-Men,2,Movie/Miniseries,DVD
X-Men: Apocalypse,,X-Men,5,Movie/Miniseries,BluRay
X-Men: Dark Phoenix,,X-Men,8,Movie/Miniseries,DVD
X-Men: Days of Future Past,,X-Men,6,Movie/Miniseries,BluRay
X-Men: Days of Future Past Rogue cut,,X-Men,7,Movie/Miniseries,BluRay
X-Men: First Class,,X-Men,4,Movie/Miniseries,BluRay
X-Men: Logan,,X-Men - Wolverine,3,Movie/Miniseries,BluRay
X-Men: Origins Wolverine,,X-Men - Wolverine,1,Movie/Miniseries,DVD
X-Men: The Last Stand,,X-Men,3,Movie/Miniseries,DVD
X-Men: The Wolverine,,X-Men - Wolverine,2,Movie/Miniseries,BluRay
Yesterday,,,,Movie/Miniseries,BluRay
Young Frankenstein,,,,Movie/Miniseries,DVD
Young Guns,,,,Movie/Miniseries,DVD
Zombie Night,,,,Movie/Miniseries,DVD
Zombieland,,,,Movie/Miniseries,DVD
Zoolander,,,,Movie/Miniseries,DVD
